Condition,B,C,D,E,Max_Fx_N,Max_kappa,D_param,Peak_Fx_over_Fz,K0_N_per_slip,Fx_kappa_005_N,Fx_kappa_010_N,Fx_kappa_020_N,Max_Fx_RelChange_pct,K0_RelChange_pct
Dry Tarmac,10,1.9,1,0.97,3999.99961591462,0.18,1,0.999999903978655,76000,2942.47735028291,3823.36841233656,3996.71094256677,0,0
Wet Tarmac,8,1.6,0.7,0.97,2799.99998765763,0.652,0.7,0.699999996914408,35840,1540.45836856653,2283.79917979261,2682.56441635589,-29.9999935870645,-52.8421052631579
Snow,4,1.2,0.3,0.97,1091.90797827231,1,0.3,0.272976994568077,5760,278.195739072142,507.781191663832,787.084460017871,-72.7022979220302,-92.4210526315789
