kappa,Fx_dry_N,Fx_wet_N,Fx_snow_N
-0.906,-3687.40870787184,-2796.16327222277,-1084.69626187764
-0.905,-3687.72742601399,-2796.18841302672,-1084.61180642691
-0.904,-3688.04629990963,-2796.21350036423,-1084.52716888814
-0.903,-3688.36532999565,-2796.23853403703,-1084.44234858868
-0.902,-3688.68451671071,-2796.2635138457,-1084.35734485258
-0.901,-3689.00386049526,-2796.28843958971,-1084.2721570006
-0.9,-3689.3233617915,-2796.31331106735,-1084.18678435017
-0.899,-3689.64302104346,-2796.33812807576,-1084.1012262154
-0.898,-3689.96283869694,-2796.3628904109,-1084.01548190702
-0.897,-3690.28281519959,-2796.38759786755,-1083.92955073236
-0.896,-3690.60295100083,-2796.41225023932,-1083.84343199538
-0.895,-3690.92324655195,-2796.4368473186,-1083.75712499661
-0.894,-3691.24370230606,-2796.46138889659,-1083.67062903313
-0.893,-3691.5643187181,-2796.48587476328,-1083.58394339855
-0.892,-3691.8850962449,-2796.51030470742,-1083.49706738301
-0.891,-3692.20603534512,-2796.53467851654,-1083.41000027312
-0.89,-3692.52713647929,-2796.55899597695,-1083.322741352
-0.889,-3692.84840010984,-2796.58325687367,-1083.23528989919
-0.888,-3693.16982670108,-2796.6074609905,-1083.14764519068
-0.887,-3693.49141671921,-2796.63160810995,-1083.05980649885
-0.886,-3693.81317063235,-2796.65569801326,-1082.97177309247
-0.885,-3694.13508891052,-2796.6797304804,-1082.8835442367
-0.884,-3694.45717202567,-2796.70370529003,-1082.79511919301
-0.883,-3694.77942045169,-2796.7276222195,-1082.70649721922
-0.882,-3695.1018346644,-2796.75148104485,-1082.61767756941
-0.881,-3695.42441514158,-2796.77528154083,-1082.52865949398
-0.88,-3695.74716236297,-2796.7990234808,-1082.43944223954
-0.879,-3696.07007681028,-2796.82270663684,-1082.35002504897
-0.878,-3696.3931589672,-2796.84633077962,-1082.26040716133
-0.877,-3696.7164093194,-2796.86989567848,-1082.17058781187
-0.876,-3697.03982835455,-2796.89340110139,-1082.08056623201
-0.875,-3697.36341656233,-2796.91684681493,-1081.99034164929
-0.874,-3697.68717443445,-2796.94023258429,-1081.89991328738
-0.873,-3698.01110246463,-2796.96355817326,-1081.80928036602
-0.872,-3698.33520114862,-2796.9868233442,-1081.71844210105
-0.871,-3698.65947098424,-2797.01002785808,-1081.6273977043
-0.87,-3698.98391247134,-2797.0331714744,-1081.53614638367
-0.869,-3699.30852611185,-2797.05625395126,-1081.44468734301
-0.868,-3699.63331240976,-2797.07927504525,-1081.35301978216
-0.867,-3699.95827187117,-2797.10223451155,-1081.26114289689
-0.866,-3700.28340500426,-2797.12513210382,-1081.16905587891
-0.865,-3700.6087123193,-2797.14796757426,-1081.07675791579
-0.864,-3700.93419432869,-2797.17074067357,-1080.98424819098
-0.863,-3701.25985154696,-2797.19345115092,-1080.89152588379
-0.862,-3701.58568449076,-2797.21609875398,-1080.79859016931
-0.861,-3701.91169367889,-2797.23868322889,-1080.70544021845
-0.86,-3702.23787963232,-2797.26120432022,-1080.61207519787
-0.859,-3702.56424287415,-2797.28366177102,-1080.51849426995
-0.858,-3702.89078392969,-2797.30605532276,-1080.42469659281
-0.857,-3703.21750332643,-2797.32838471531,-1080.33068132024
-0.856,-3703.54440159402,-2797.35064968699,-1080.23644760167
-0.855,-3703.87147926437,-2797.37284997449,-1080.14199458219
-0.854,-3704.19873687158,-2797.3949853129,-1080.04732140247
-0.853,-3704.52617495196,-2797.41705543567,-1079.95242719875
-0.852,-3704.85379404409,-2797.43906007463,-1079.85731110283
-0.851,-3705.1815946888,-2797.46099895994,-1079.76197224202
-0.85,-3705.50957742914,-2797.48287182011,-1079.66640973912
-0.849,-3705.83774281047,-2797.50467838198,-1079.5706227124
-0.848,-3706.16609138042,-2797.52641837068,-1079.47461027555
-0.847,-3706.4946236889,-2797.54809150967,-1079.37837153767
-0.846,-3706.82334028815,-2797.56969752067,-1079.28190560324
-0.845,-3707.15224173269,-2797.59123612368,-1079.18521157207
-0.844,-3707.48132857938,-2797.61270703696,-1079.08828853929
-0.843,-3707.81060138744,-2797.63410997704,-1078.99113559534
-0.842,-3708.1400607184,-2797.65544465865,-1078.89375182589
-0.841,-3708.46970713616,-2797.67671079475,-1078.79613631185
-0.84,-3708.79954120701,-2797.69790809651,-1078.6982881293
-0.839,-3709.1295634996,-2797.71903627331,-1078.60020634952
-0.838,-3709.45977458497,-2797.74009503267,-1078.50189003892
-0.837,-3709.79017503659,-2797.76108408032,-1078.40333825898
-0.836,-3710.12076543031,-2797.7820031201,-1078.30455006629
-0.835,-3710.45154634445,-2797.80285185402,-1078.20552451246
-0.834,-3710.78251835972,-2797.8236299822,-1078.10626064412
-0.833,-3711.11368205932,-2797.84433720285,-1078.00675750286
-0.832,-3711.4450380289,-2797.86497321231,-1077.90701412523
-0.831,-3711.77658685658,-2797.88553770497,-1077.8070295427
-0.83,-3712.10832913297,-2797.90603037329,-1077.70680278159
-0.829,-3712.44026545117,-2797.92645090779,-1077.60633286309
-0.828,-3712.77239640681,-2797.94679899702,-1077.50561880319
-0.827,-3713.10472259802,-2797.96707432755,-1077.40465961268
-0.826,-3713.43724462547,-2797.98727658393,-1077.30345429707
-0.825,-3713.76996309239,-2798.00740544874,-1077.20200185659
-0.824,-3714.10287860456,-2798.0274606025,-1077.10030128617
-0.823,-3714.43599177033,-2798.0474417237,-1076.99835157535
-0.822,-3714.76930320063,-2798.06734848877,-1076.89615170829
-0.821,-3715.102813509,-2798.08718057205,-1076.79370066374
-0.82,-3715.43652331156,-2798.10693764582,-1076.69099741496
-0.819,-3715.77043322708,-2798.12661938022,-1076.58804092974
-0.818,-3716.10454387695,-2798.14622544329,-1076.48483017032
-0.817,-3716.43885588522,-2798.1657555009,-1076.38136409337
-0.816,-3716.77336987858,-2798.18520921681,-1076.27764164996
-0.815,-3717.1080864864,-2798.20458625254,-1076.17366178552
-0.814,-3717.44300634074,-2798.22388626749,-1076.0694234398
-0.813,-3717.77813007635,-2798.24310891878,-1075.96492554682
-0.812,-3718.11345833069,-2798.26225386137,-1075.86016703487
-0.811,-3718.44899174396,-2798.28132074792,-1075.75514682643
-0.81,-3718.78473095908,-2798.30030922887,-1075.64986383816
-0.809,-3719.12067662172,-2798.31921895235,-1075.54431698083
-0.808,-3719.45682938033,-2798.33804956421,-1075.43850515934
-0.807,-3719.79318988612,-2798.35680070799,-1075.33242727262
-0.806,-3720.12975879309,-2798.37547202487,-1075.22608221361
-0.805,-3720.46653675806,-2798.39406315369,-1075.11946886924
-0.804,-3720.80352444065,-2798.41257373093,-1075.01258612038
-0.803,-3721.14072250333,-2798.43100339067,-1074.90543284177
-0.802,-3721.4781316114,-2798.44935176458,-1074.79800790202
-0.801,-3721.81575243302,-2798.4676184819,-1074.69031016357
-0.8,-3722.15358563922,-2798.48580316942,-1074.58233848261
-0.799,-3722.49163190392,-2798.50390545147,-1074.47409170906
-0.798,-3722.82989190396,-2798.52192494988,-1074.36556868655
-0.797,-3723.16836631905,-2798.539861284,-1074.25676825234
-0.796,-3723.50705583188,-2798.55771407061,-1074.14768923731
-0.795,-3723.84596112803,-2798.57548292397,-1074.03833046588
-0.794,-3724.18508289608,-2798.59316745577,-1073.928690756
-0.793,-3724.52442182756,-2798.61076727511,-1073.81876891912
-0.792,-3724.86397861699,-2798.62828198846,-1073.70856376009
-0.791,-3725.20375396189,-2798.6457111997,-1073.59807407715
-0.79,-3725.5437485628,-2798.66305451001,-1073.48729866191
-0.789,-3725.88396312327,-2798.68031151792,-1073.37623629925
-0.788,-3726.22439834992,-2798.69748181928,-1073.26488576731
-0.787,-3726.56505495242,-2798.71456500719,-1073.15324583746
-0.786,-3726.90593364349,-2798.73156067202,-1073.04131527422
-0.785,-3727.24703513897,-2798.74846840139,-1072.9290928352
-0.784,-3727.5883601578,-2798.76528778012,-1072.81657727111
-0.783,-3727.92990942201,-2798.78201839024,-1072.70376732569
-0.782,-3728.2716836568,-2798.79865981094,-1072.59066173562
-0.781,-3728.61368359049,-2798.81521161854,-1072.47725923054
-0.78,-3728.95590995459,-2798.83167338651,-1072.36355853296
-0.779,-3729.29836348376,-2798.84804468541,-1072.24955835821
-0.778,-3729.64104491587,-2798.86432508286,-1072.13525741441
-0.777,-3729.98395499201,-2798.88051414357,-1072.02065440241
-0.776,-3730.32709445648,-2798.89661142922,-1071.90574801577
-0.775,-3730.67046405683,-2798.91261649855,-1071.79053694063
-0.774,-3731.01406454386,-2798.92852890724,-1071.67501985577
-0.773,-3731.35789667165,-2798.94434820794,-1071.55919543246
-0.772,-3731.70196119756,-2798.96007395022,-1071.44306233448
-0.771,-3732.04625888227,-2798.97570568056,-1071.32661921801
-0.77,-3732.39079048976,-2798.9912429423,-1071.20986473164
-0.769,-3732.73555678737,-2799.00668527566,-1071.09279751626
-0.768,-3733.08055854578,-2799.02203221765,-1070.97541620504
-0.767,-3733.42579653903,-2799.0372833021,-1070.85771942337
-0.766,-3733.77127154456,-2799.05243805961,-1070.73970578881
-0.765,-3734.11698434322,-2799.06749601751,-1070.62137391102
-0.764,-3734.46293571925,-2799.08245669987,-1070.50272239172
-0.763,-3734.80912646035,-2799.09731962742,-1070.38374982464
-0.762,-3735.15555735766,-2799.11208431757,-1070.26445479544
-0.761,-3735.5022292058,-2799.12675028437,-1070.14483588169
-0.76,-3735.84914280287,-2799.14131703846,-1070.02489165277
-0.759,-3736.19629895045,-2799.15578408707,-1069.90462066985
-0.758,-3736.54369845368,-2799.17015093396,-1069.78402148582
-0.757,-3736.8913421212,-2799.18441707942,-1069.66309264523
-0.756,-3737.23923076522,-2799.19858202024,-1069.54183268423
-0.755,-3737.58736520152,-2799.21264524964,-1069.42024013052
-0.754,-3737.93574624948,-2799.2266062573,-1069.29831350327
-0.753,-3738.28437473205,-2799.24046452929,-1069.17605131311
-0.752,-3738.63325147584,-2799.25421954804,-1069.05345206199
-0.751,-3738.98237731108,-2799.26787079233,-1068.9305142432
-0.75,-3739.33175307165,-2799.28141773723,-1068.80723634126
-0.749,-3739.68137959514,-2799.2948598541,-1068.68361683188
-0.748,-3740.03125772279,-2799.30819661054,-1068.55965418188
-0.747,-3740.38138829958,-2799.32142747035,-1068.43534684913
-0.746,-3740.7317721742,-2799.33455189354,-1068.31069328252
-0.745,-3741.08241019912,-2799.34756933623,-1068.18569192185
-0.744,-3741.43330323053,-2799.36047925066,-1068.06034119779
-0.743,-3741.78445212844,-2799.37328108518,-1067.93463953182
-0.742,-3742.13585775663,-2799.38597428414,-1067.80858533614
-0.741,-3742.48752098273,-2799.39855828794,-1067.68217701364
-0.74,-3742.83944267819,-2799.41103253293,-1067.55541295779
-0.739,-3743.19162371833,-2799.42339645143,-1067.42829155263
-0.738,-3743.54406498232,-2799.43564947164,-1067.30081117264
-0.737,-3743.89676735325,-2799.44779101765,-1067.17297018271
-0.736,-3744.24973171811,-2799.45982050937,-1067.04476693808
-0.735,-3744.60295896783,-2799.47173736254,-1066.91619978422
-0.734,-3744.95644999728,-2799.48354098862,-1066.78726705682
-0.733,-3745.3102057053,-2799.49523079484,-1066.65796708169
-0.732,-3745.66422699473,-2799.50680618409,-1066.52829817468
-0.731,-3746.01851477241,-2799.51826655492,-1066.39825864165
-0.73,-3746.3730699492,-2799.5296113015,-1066.26784677834
-0.729,-3746.72789344002,-2799.54083981357,-1066.13706087034
-0.728,-3747.08298616384,-2799.5519514764,-1066.005899193
-0.727,-3747.43834904373,-2799.56294567078,-1065.87436001136
-0.726,-3747.79398300685,-2799.57382177293,-1065.74244158007
-0.725,-3748.1498889845,-2799.5845791545,-1065.61014214333
-0.724,-3748.50606791212,-2799.59521718252,-1065.4774599348
-0.723,-3748.8625207293,-2799.60573521935,-1065.34439317753
-0.722,-3749.21924837983,-2799.61613262266,-1065.21094008386
-0.721,-3749.57625181169,-2799.62640874536,-1065.0770988554
-0.72,-3749.93353197709,-2799.63656293557,-1064.94286768288
-0.719,-3750.29108983249,-2799.64659453658,-1064.80824474613
-0.718,-3750.64892633861,-2799.65650288682,-1064.67322821396
-0.717,-3751.00704246045,-2799.66628731979,-1064.53781624409
-0.716,-3751.36543916731,-2799.67594716403,-1064.4020069831
-0.715,-3751.72411743284,-2799.68548174309,-1064.26579856629
-0.714,-3752.08307823499,-2799.69489037544,-1064.12918911767
-0.713,-3752.44232255613,-2799.70417237449,-1063.99217674979
-0.712,-3752.80185138298,-2799.71332704848,-1063.85475956374
-0.711,-3753.16166570668,-2799.72235370048,-1063.716935649
-0.71,-3753.5217665228,-2799.73125162832,-1063.57870308341
-0.709,-3753.88215483135,-2799.74002012456,-1063.44005993305
-0.708,-3754.24283163683,-2799.74865847642,-1063.30100425214
-0.707,-3754.60379794821,-2799.75716596575,-1063.16153408299
-0.706,-3754.96505477898,-2799.76554186897,-1063.0216474559
-0.705,-3755.32660314717,-2799.77378545704,-1062.88134238905
-0.704,-3755.68844407537,-2799.78189599537,-1062.74061688844
-0.703,-3756.05057859073,-2799.78987274384,-1062.59946894777
-0.702,-3756.41300772501,-2799.79771495666,-1062.45789654838
-0.701,-3756.77573251459,-2799.80542188239,-1062.31589765912
-0.7,-3757.13875400048,-2799.81299276387,-1062.17347023632
-0.699,-3757.50207322836,-2799.82042683814,-1062.0306122236
-0.698,-3757.86569124862,-2799.82772333642,-1061.88732155187
-0.697,-3758.22960911631,-2799.83488148406,-1061.74359613919
-0.696,-3758.59382789124,-2799.84190050044,-1061.59943389066
-0.695,-3758.95834863798,-2799.84877959896,-1061.45483269836
-0.694,-3759.32317242583,-2799.855517987,-1061.30979044123
-0.693,-3759.68830032894,-2799.86211486578,-1061.16430498498
-0.692,-3760.05373342623,-2799.86856943041,-1061.01837418197
-0.691,-3760.41947280149,-2799.87488086977,-1060.87199587115
-0.69,-3760.78551954336,-2799.88104836644,-1060.7251678779
-0.689,-3761.15187474537,-2799.88707109671,-1060.577888014
-0.688,-3761.51853950595,-2799.89294823045,-1060.43015407747
-0.687,-3761.88551492847,-2799.89867893109,-1060.28196385248
-0.686,-3762.25280212124,-2799.90426235554,-1060.13331510926
-0.685,-3762.62040219756,-2799.90969765416,-1059.98420560398
-0.684,-3762.98831627571,-2799.91498397067,-1059.83463307865
-0.683,-3763.35654547902,-2799.92012044208,-1059.68459526101
-0.682,-3763.72509093583,-2799.92510619866,-1059.53408986442
-0.681,-3764.09395377957,-2799.92994036388,-1059.38311458776
-0.68,-3764.46313514874,-2799.93462205428,-1059.23166711528
-0.679,-3764.83263618698,-2799.9391503795,-1059.07974511657
-0.678,-3765.20245804305,-2799.94352444213,-1058.92734624636
-0.677,-3765.57260187087,-2799.94774333771,-1058.77446814445
-0.676,-3765.94306882955,-2799.95180615463,-1058.62110843559
-0.675,-3766.31386008339,-2799.95571197404,-1058.46726472938
-0.674,-3766.68497680194,-2799.95945986985,-1058.31293462012
-0.673,-3767.05642016,-2799.9630489086,-1058.15811568672
-0.672,-3767.42819133763,-2799.96647814941,-1058.00280549255
-0.671,-3767.80029152021,-2799.96974664391,-1057.84700158536
-0.67,-3768.17272189844,-2799.97285343618,-1057.69070149715
-0.669,-3768.54548366835,-2799.97579756266,-1057.53390274402
-0.668,-3768.91857803138,-2799.97857805209,-1057.37660282606
-0.667,-3769.29200619432,-2799.98119392542,-1057.21879922726
-0.666,-3769.66576936942,-2799.98364419576,-1057.06048941534
-0.665,-3770.03986877434,-2799.98592786829,-1056.90167084163
-0.664,-3770.41430563224,-2799.98804394018,-1056.74234094097
-0.663,-3770.78908117174,-2799.98999140053,-1056.58249713156
-0.662,-3771.164196627,-2799.99176923027,-1056.42213681483
-0.661,-3771.53965323771,-2799.99337640211,-1056.26125737532
-0.66,-3771.91545224912,-2799.99481188042,-1056.09985618055
-0.659,-3772.29159491207,-2799.9960746212,-1055.93793058085
-0.658,-3772.66808248302,-2799.99716357195,-1055.7754779093
-0.657,-3773.04491622405,-2799.99807767164,-1055.6124954815
-0.656,-3773.42209740293,-2799.99881585056,-1055.44898059552
-0.655,-3773.79962729309,-2799.9993770303,-1055.28493053169
-0.654,-3774.17750717367,-2799.99976012364,-1055.12034255254
-0.653,-3774.55573832956,-2799.99996403445,-1054.95521390257
-0.652,-3774.93432205139,-2799.99998765763,-1054.78954180818
-0.651,-3775.3132596356,-2799.999829879,-1054.62332347749
-0.65,-3775.6925523844,-2799.99948957521,-1054.45655610019
-0.649,-3776.07220160586,-2799.99896561369,-1054.28923684744
-0.648,-3776.45220861391,-2799.99825685252,-1054.12136287166
-0.647,-3776.83257472833,-2799.99736214032,-1053.95293130645
-0.646,-3777.21330127484,-2799.99628031623,-1053.78393926636
-0.645,-3777.59438958506,-2799.99501020974,-1053.61438384681
-0.644,-3777.9758409966,-2799.99355064065,-1053.4442621239
-0.643,-3778.35765685301,-2799.99190041892,-1053.27357115428
-0.642,-3778.73983850388,-2799.99005834463,-1053.10230797497
-0.641,-3779.1223873048,-2799.98802320786,-1052.9304696032
-0.64,-3779.50530461743,-2799.98579378857,-1052.75805303629
-0.639,-3779.88859180949,-2799.98336885653,-1052.58505525146
-0.638,-3780.27225025483,-2799.98074717118,-1052.41147320565
-0.637,-3780.65628133341,-2799.97792748159,-1052.23730383541
-0.636,-3781.04068643133,-2799.97490852628,-1052.0625440567
-0.635,-3781.42546694089,-2799.97168903319,-1051.88719076473
-0.634,-3781.81062426058,-2799.96826771951,-1051.71124083379
-0.633,-3782.19615979511,-2799.96464329162,-1051.53469111709
-0.632,-3782.58207495543,-2799.96081444493,-1051.3575384466
-0.631,-3782.9683711588,-2799.95677986384,-1051.17977963283
-0.63,-3783.35504982874,-2799.95253822156,-1051.00141146472
-0.629,-3783.74211239512,-2799.94808818004,-1050.82243070943
-0.628,-3784.12956029413,-2799.94342838984,-1050.64283411215
-0.627,-3784.51739496836,-2799.93855749003,-1050.46261839597
-0.626,-3784.90561786677,-2799.93347410803,-1050.28178026163
-0.625,-3785.29423044476,-2799.92817685957,-1050.10031638742
-0.624,-3785.68323416417,-2799.92266434848,-1049.91822342892
-0.623,-3786.07263049329,-2799.91693516664,-1049.73549801888
-0.622,-3786.46242090692,-2799.91098789383,-1049.55213676697
-0.621,-3786.85260688638,-2799.90482109759,-1049.36813625965
-0.62,-3787.24318991952,-2799.89843333313,-1049.18349305994
-0.619,-3787.63417150074,-2799.89182314319,-1048.99820370725
-0.618,-3788.02555313106,-2799.8849890579,-1048.81226471716
-0.617,-3788.41733631809,-2799.87792959467,-1048.62567258126
-0.616,-3788.80952257608,-2799.87064325802,-1048.43842376692
-0.615,-3789.20211342594,-2799.8631285395,-1048.25051471711
-0.614,-3789.59511039525,-2799.85538391755,-1048.0619418502
-0.613,-3789.9885150183,-2799.8474078573,-1047.87270155973
-0.612,-3790.38232883613,-2799.83919881051,-1047.68279021423
-0.611,-3790.7765533965,-2799.83075521541,-1047.49220415702
-0.61,-3791.17119025396,-2799.82207549651,-1047.30093970597
-0.609,-3791.56624096985,-2799.81315806453,-1047.10899315332
-0.608,-3791.96170711235,-2799.80400131622,-1046.91636076543
-0.607,-3792.35759025644,-2799.79460363421,-1046.72303878262
-0.606,-3792.75389198401,-2799.78496338687,-1046.52902341888
-0.605,-3793.15061388381,-2799.77507892816,-1046.33431086173
-0.604,-3793.5477575515,-2799.76494859748,-1046.13889727194
-0.603,-3793.94532458968,-2799.75457071953,-1045.94277878331
-0.602,-3794.34331660791,-2799.74394360413,-1045.7459515025
-0.601,-3794.74173522269,-2799.73306554607,-1045.54841150871
-0.6,-3795.14058205756,-2799.72193482498,-1045.35015485355
-0.599,-3795.53985874304,-2799.71054970512,-1045.15117756074
-0.598,-3795.93956691671,-2799.69890843527,-1044.95147562587
-0.597,-3796.3397082232,-2799.68700924852,-1044.75104501623
-0.596,-3796.74028431422,-2799.67485036214,-1044.54988167051
-0.595,-3797.14129684858,-2799.66242997738,-1044.34798149857
-0.594,-3797.5427474922,-2799.64974627934,-1044.14534038122
-0.593,-3797.94463791816,-2799.63679743674,-1043.94195416993
-0.592,-3798.34696980668,-2799.6235816018,-1043.73781868665
-0.591,-3798.74974484517,-2799.61009691005,-1043.53292972347
-0.59,-3799.15296472823,-2799.59634148012,-1043.32728304246
-0.589,-3799.55663115768,-2799.58231341359,-1043.12087437535
-0.588,-3799.96074584258,-2799.56801079481,-1042.91369942328
-0.587,-3800.36531049923,-2799.55343169068,-1042.70575385657
-0.586,-3800.77032685122,-2799.53857415051,-1042.49703331441
-0.585,-3801.17579662941,-2799.5234362058,-1042.28753340466
-0.584,-3801.58172157198,-2799.50801587002,-1042.07724970351
-0.583,-3801.98810342442,-2799.49231113849,-1041.86617775526
-0.582,-3802.39494393958,-2799.47631998812,-1041.65431307201
-0.581,-3802.80224487765,-2799.46004037723,-1041.44165113342
-0.58,-3803.21000800621,-2799.44347024533,-1041.22818738639
-0.579,-3803.61823510019,-2799.42660751298,-1041.01391724483
-0.578,-3804.02692794197,-2799.40945008148,-1040.79883608933
-0.577,-3804.43608832132,-2799.39199583275,-1040.58293926687
-0.576,-3804.84571803545,-2799.37424262907,-1040.36622209058
-0.575,-3805.25581888901,-2799.35618831288,-1040.14867983941
-0.574,-3805.66639269413,-2799.33783070655,-1039.93030775781
-0.573,-3806.07744127039,-2799.31916761217,-1039.71110105549
-0.572,-3806.48896644487,-2799.30019681132,-1039.49105490708
-0.571,-3806.90097005213,-2799.28091606487,-1039.27016445183
-0.57,-3807.31345393427,-2799.2613231127,-1039.04842479332
-0.569,-3807.72641994089,-2799.24141567351,-1038.8258309991
-0.568,-3808.13986992912,-2799.22119144455,-1038.60237810044
-0.567,-3808.55380576363,-2799.20064810143,-1038.37806109199
-0.566,-3808.96822931667,-2799.17978329783,-1038.15287493143
-0.565,-3809.38314246801,-2799.15859466528,-1037.92681453919
